# CSO PxStat ROA30 (pass rates, abandoned tests) and ROA36 (waiting times), Category B, 2021 January–2026 July. Source: data.cso.ie
# lastUpdated=2026-08-11
# fullHistoryInJson=67 months
slug,name,county,csoName,passRate,waitWeeks,delivered,noShow,abandoned,period,driveflowUrl,passRate_2021_07,waitWeeks_2021_07,delivered_2021_07,noShow_2021_07,abandoned_2021_07,passRate_2022_07,waitWeeks_2022_07,delivered_2022_07,noShow_2022_07,abandoned_2022_07,passRate_2023_07,waitWeeks_2023_07,delivered_2023_07,noShow_2023_07,abandoned_2023_07,passRate_2024_07,waitWeeks_2024_07,delivered_2024_07,noShow_2024_07,abandoned_2024_07,passRate_2025_07,waitWeeks_2025_07,delivered_2025_07,noShow_2025_07,abandoned_2025_07,passRate_2026_07,waitWeeks_2026_07,delivered_2026_07,noShow_2026_07,abandoned_2026_07
athlone,Athlone,Westmeath,"Athlone, Co. Westmeath",45.2,13,358,20,28,2026-07,https://www.driveflow.ie/athlone-routes.html,58.1,,252,2,14,55.6,7,186,4,11,51.5,16,265,6,18,48.2,17,323,2,16,37,12,358,8,26,45.2,13,358,20,28
ballina,Ballina,Mayo,"Ballina, Co. Mayo",54.6,13,141,7,13,2026-07,https://www.driveflow.ie/ballina-routes.html,61.1,,91,1,,53.3,12,110,,3,56.3,18,109,5,1,61.3,18,168,3,5,51.1,10,251,7,15,54.6,13,141,7,13
ballincollig,Ballincollig,Cork,"Cork (Ballincollig), Co. Cork",,,,,,2026-07,https://www.driveflow.ie/ballincollig-routes.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birr-county-arms-hotel,Birr (County Arms Hotel),Offaly,"Birr (County Arms Hotel), Co. Offaly",,,,,,2026-07,https://www.driveflow.ie/birr-county-arms-hotel-routes.html,63.2,,20,,1,54.4,13,72,2,2,,,,,,,,,,,,,,,,,,,,
buncrana,Buncrana,Donegal,"Buncrana, Co. Donegal",57.5,11,167,4,10,2026-07,https://www.driveflow.ie/buncrana-routes.html,56.5,,121,,6,62.9,12,105,1,7,69,30,64,2,4,57.5,22,94,2,5,62.6,14,136,3,2,57.5,11,167,4,10
carlow,Carlow,Carlow,"Carlow, Co. Carlow",55.3,10,268,9,24,2026-07,https://www.driveflow.ie/carlow-routes.html,,,,,,,,,,,,,,,,52,16,206,6,4,41.9,10,342,13,21,55.3,10,268,9,24
carlow-talbot-hotel,Carlow Talbot Hotel,Carlow,"Carlow Talbot Hotel, Co. Carlow",40.6,11,420,13,47,2026-07,https://www.driveflow.ie/carlow-talbot-hotel-routes.html,55.8,,217,4,14,44.2,9,287,6,16,61,31,222,9,13,52.9,18,202,4,11,47.6,9,331,16,23,40.6,11,420,13,47
carrick-on-shannon,Carrick-on-Shannon,Leitrim,"Carrick On Shannon, Co. Leitrim",56.7,13,163,,6,2026-07,https://www.driveflow.ie/carrick-on-shannon-routes.html,50.9,,57,,2,59,14,107,2,5,60,27,53,2,1,61.5,15,130,3,5,52.9,10,266,11,17,56.7,13,163,,6
castlebar,Castlebar,Mayo,"Castlebar, Co. Mayo",54.2,14,171,5,11,2026-07,https://www.driveflow.ie/castlebar-routes.html,50,,188,1,7,52.9,11,257,4,13,61.3,22,286,12,5,59.5,19,264,9,13,46.3,9,332,5,20,54.2,14,171,5,11
cavan,Cavan,Cavan,"Cavan, Co. Cavan",57.6,12,479,10,16,2026-07,https://www.driveflow.ie/cavan-routes.html,65.6,,201,,6,58.5,10,200,7,10,64.1,30,125,3,5,55.8,19,297,8,11,52,10,446,9,18,57.6,12,479,10,16
clifden,Clifden,Galway,"Clifden, Co. Galway",68.5,13,58,2,2,2026-07,https://www.driveflow.ie/clifden-routes.html,68,,52,1,1,60,11,5,,,,22,,,,100,16,1,,,58.1,20,47,2,2,68.5,13,58,2,2
clonmel,Clonmel,Tipperary,"Clonmel, Co. Tipperary",49.4,10,359,11,36,2026-07,https://www.driveflow.ie/clonmel-routes.html,65.1,,164,3,9,59.1,7,180,2,7,57.6,22,196,5,14,53.8,18,292,11,19,55,15,479,12,29,49.4,10,359,11,36
wilton,Cork (Wilton),Cork,"Cork (Wilton), Co. Cork",53,10,1689,60,140,2026-07,https://www.driveflow.ie/wilton-routes.html,54.3,,741,12,36,45.1,7,691,16,48,47.1,36,1203,34,92,44.5,17,1629,56,121,53.3,18,1533,49,61,53,10,1689,60,140
donegal,Donegal,Donegal,"Donegal, Co. Donegal",59.8,9,286,4,16,2026-07,https://www.driveflow.ie/donegal-routes.html,52.6,,120,1,5,49.5,13,112,2,7,55.8,24,114,5,5,59.2,17,141,6,5,51.1,14,149,6,8,59.8,9,286,4,16
