"Statistic Label","Month","Driving Test Categories","Driving Test Centre","UNIT","VALUE"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","All driving test centres","Number","897"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Athlone, Co. Westmeath","Number","18"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Ballina, Co. Mayo","Number","1"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Birr, Co. Offaly","Number","6"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Birr (County Arms Hotel), Co. Offaly","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Buncrana, Co. Donegal","Number","4"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Carlow, Co. Carlow","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Carlow Talbot Hotel, Co. Carlow","Number","13"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Carrick On Shannon, Co. Leitrim","Number","1"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Castlebar, Co. Mayo","Number","5"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Cavan, Co. Cavan","Number","5"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Charlestown (Dublin), Co. Dublin","Number","12"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Clifden, Co. Galway","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Clonmel, Co. Tipperary","Number","14"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Cork (Ballincollig), Co. Cork","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Cork (Wilton), Co. Cork","Number","92"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Donegal, Co. Donegal","Number","5"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Drogheda, Co. Louth","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Dun Laoghaire / Deansgrange, Co. Dublin","Number","36"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Dundalk, Co. Louth","Number","19"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Dungarvan, Co. Waterford","Number","6"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Ennis, Co. Clare","Number","9"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Finglas, Co. Dublin","Number","58"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Galway (Carnmore), Co. Galway","Number","4"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Galway (Westside), Co. Galway","Number","12"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Gorey, Co. Wexford","Number","17"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Kilkenny (Govt Buildings), Co. Kilkenny","Number","3"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Kilkenny (O'Loughlin Gaels), Co. Kilkenny","Number","1"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Killarney, Co. Kerry","Number","7"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Killester, Co. Dublin","Number","16"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Kilrush, Co. Clare","Number","3"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Letterkenny, Co. Donegal","Number","6"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Limerick - Castlemungret, Co. Limerick","Number","25"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Limerick - Woodview, Co. Limerick","Number","22"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Limerick (Roxboro), Co. Limerick","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Longford, Co. Longford","Number","5"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Loughrea, Co. Galway","Number","8"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Loughrea (Lough Rea Hotel & Spa), Co. Galway","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mallow, Co. Cork","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mallow (Cork Racecourse Mallow), Co. Cork","Number","26"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Monaghan, Co. Monaghan","Number","5"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mulhuddart, Co. Dublin","Number","20"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mulhuddart (Carlton Hotel), Co. Dublin","Number","5"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mulhuddart Maple House, Co. Dublin","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mullingar, Co. Westmeath","Number","13"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Naas, Co. Kildare","Number","50"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Navan, Co. Meath","Number","35"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Nenagh, Co. Tipperary","Number","12"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Newcastle West, Co. Limerick","Number","3"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Newcastle West (Longcourt House Hotel), Co. Limerick","Number","2"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Portlaoise, Co. Laois","Number","13"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Portlaoise (Maldron Hotel), Co. Laois","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Raheny, Co. Dublin","Number","24"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Roscommon, Co. Roscommon","Number","8"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Shannon, Co. Clare","Number","12"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Skibbereen, Co. Cork","Number","3"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Sligo, Co. Sligo","Number","6"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Tallaght, Co. Dublin","Number","109"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Thurles, Co. Tipperary","Number","12"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Tipperary, Co. Tipperary","Number","18"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Tralee, Co. Kerry","Number","4"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Tralee (HGV's), Co. Kerry","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Tuam, Co. Galway","Number","6"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Tullamore, Co. Offaly","Number","7"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Waterford, Co. Waterford","Number","40"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Wexford, Co. Wexford","Number","15"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Wicklow, Co. Wicklow","Number","16"
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Galway (Clybaun Hotel), Co. Galway","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Sandyford, Co. Dublin","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Drogheda – Southgate, Co. Louth","Number",""
"Driving Tests Not Conducted / Abandoned","2023 July","Category B (Car or light van)","Mitchelstown, Co. Cork","Number",""
