"STATISTIC","Statistic Label","TLIST(M1)","Month","C03113V05042","Driving Test Centre","UNIT","VALUE"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","-","All driving test centres","Weeks","15.9"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","100","Athlone, Co. Westmeath","Weeks","10"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","101","Ballina, Co. Mayo","Weeks","26"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","102","Birr, Co. Offaly","Weeks","13"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","103","Birr (County Arms Hotel), Co. Offaly","Weeks","9"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","104","Buncrana, Co. Donegal","Weeks","13"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","105","Carlow, Co. Carlow","Weeks",""
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","106","Carlow Talbot Hotel, Co. Carlow","Weeks","15"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","107","Carrick On Shannon, Co. Leitrim","Weeks","20"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","108","Castlebar, Co. Mayo","Weeks","12"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","109","Cavan, Co. Cavan","Weeks","20"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","110","Charlestown (Dublin), Co. Dublin","Weeks","15"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","111","Clifden, Co. Galway","Weeks","20"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","112","Clonmel, Co. Tipperary","Weeks","11"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","113","Cork (Ballincollig), Co. Cork","Weeks",""
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","114","Cork (St. Finbarr's GAA Club Togher), Co. Cork","Weeks","13"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","115","Cork (Wilton), Co. Cork","Weeks","9"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","116","Donegal, Co. Donegal","Weeks","27"
"ROA36C01","Estimated Time to Driving Test Invite at Month End","202109","2021 September","117","Drogheda, Co. Louth","Weeks","29"
